Experiment time:	2021-07-07 11:34:00	Scanning Mode:	Time Sweep
Total Loop:	10	Point per loop:	40
Signal	Reference	Time(ns)	Loop Num
0	15	100.0	0
0	39	200.0	0
0	17	300.0	0
1	40	400.0	0
1	18	500.0	0
0	29	600.0	0
1	31	700.0	0
0	75	800.0	0
0	1440	900.0	0
0	1469	1000.0	0
0	1374	1100.0	0
0	1468	1200.0	0
1	1485	1300.0	0
0	1286	1400.0	0
2	1365	1500.0	0
0	1358	1600.0	0
1	1385	1700.0	0
0	1413	1800.0	0
0	1326	1900.0	0
0	1349	2000.0	0
1	1450	2100.0	0
0	1481	2200.0	0
0	1335	2300.0	0
0	1578	2400.0	0
2	1607	2500.0	0
0	1753	2600.0	0
0	1706	2700.0	0
0	1449	2800.0	0
0	29	2900.0	0
1	27	3000.0	0
3	33	3100.0	0
2	29	3200.0	0
0	42	3300.0	0
0	31	3400.0	0
0	20	3500.0	0
0	25	3600.0	0
0	22	3700.0	0
1	34	3800.0	0
0	30	3900.0	0
0	21	4000.0	0
1	13	100.0	1
1	25	200.0	1
0	25	300.0	1
1	28	400.0	1
0	25	500.0	1
1	24	600.0	1
0	33	700.0	1
0	80	800.0	1
0	1323	900.0	1
1	1558	1000.0	1
3	1442	1100.0	1
0	1296	1200.0	1
0	1386	1300.0	1
0	1424	1400.0	1
1	1444	1500.0	1
2	1326	1600.0	1
1	1334	1700.0	1
0	1373	1800.0	1
0	1393	1900.0	1
0	1433	2000.0	1
1	1461	2100.0	1
1	1336	2200.0	1
0	1356	2300.0	1
1	1752	2400.0	1
0	1676	2500.0	1
0	1783	2600.0	1
1	1624	2700.0	1
0	1360	2800.0	1
0	33	2900.0	1
0	28	3000.0	1
1	25	3100.0	1
0	35	3200.0	1
0	26	3300.0	1
0	28	3400.0	1
0	20	3500.0	1
0	22	3600.0	1
0	22	3700.0	1
1	23	3800.0	1
0	15	3900.0	1
1	29	4000.0	1
0	15	100.0	2
0	19	200.0	2
0	28	300.0	2
0	21	400.0	2
1	19	500.0	2
2	29	600.0	2
1	30	700.0	2
0	99	800.0	2
0	1373	900.0	2
0	1380	1000.0	2
0	1346	1100.0	2
0	1453	1200.0	2
2	1338	1300.0	2
0	1399	1400.0	2
2	1429	1500.0	2
0	1459	1600.0	2
0	1381	1700.0	2
0	1349	1800.0	2
0	1416	1900.0	2
0	1344	2000.0	2
0	1337	2100.0	2
0	1396	2200.0	2
1	1416	2300.0	2
0	1555	2400.0	2
0	1733	2500.0	2
1	1638	2600.0	2
2	1650	2700.0	2
1	1405	2800.0	2
0	30	2900.0	2
0	33	3000.0	2
2	30	3100.0	2
2	32	3200.0	2
0	21	3300.0	2
0	26	3400.0	2
1	27	3500.0	2
0	21	3600.0	2
1	28	3700.0	2
0	25	3800.0	2
0	27	3900.0	2
0	29	4000.0	2
0	8	100.0	3
0	26	200.0	3
1	22	300.0	3
2	32	400.0	3
0	28	500.0	3
1	20	600.0	3
0	22	700.0	3
0	76	800.0	3
0	1491	900.0	3
0	1504	1000.0	3
0	1293	1100.0	3
0	1335	1200.0	3
0	1401	1300.0	3
0	1322	1400.0	3
0	1482	1500.0	3
0	1511	1600.0	3
0	1463	1700.0	3
2	1422	1800.0	3
0	1398	1900.0	3
0	1391	2000.0	3
0	1418	2100.0	3
0	1312	2200.0	3
0	1407	2300.0	3
0	1764	2400.0	3
0	1684	2500.0	3
0	1653	2600.0	3
1	1587	2700.0	3
0	1383	2800.0	3
1	35	2900.0	3
0	33	3000.0	3
0	36	3100.0	3
0	35	3200.0	3
0	23	3300.0	3
0	27	3400.0	3
1	26	3500.0	3
0	21	3600.0	3
0	34	3700.0	3
0	28	3800.0	3
0	29	3900.0	3
1	29	4000.0	3
0	13	100.0	4
1	33	200.0	4
0	20	300.0	4
0	27	400.0	4
0	23	500.0	4
