Experiment time:	2021-07-07 12:02:23	Scanning Mode:	Time Sweep
Total Loop:	10	Point per loop:	300
Signal	Reference	Time(ns)	Loop Num
3	18	10.0	0
0	3	20.0	0
0	13	30.0	0
0	24	40.0	0
0	27	50.0	0
0	11	60.0	0
2	23	70.0	0
0	25	80.0	0
2	13	90.0	0
1	13	100.0	0
1	19	110.0	0
1	34	120.0	0
1	1	130.0	0
1	4	140.0	0
1	24	150.0	0
0	33	160.0	0
1	30	170.0	0
0	3	180.0	0
0	18	190.0	0
1	34	200.0	0
0	13	210.0	0
0	26	220.0	0
0	30	230.0	0
1	30	240.0	0
0	35	250.0	0
1	26	260.0	0
0	22	270.0	0
0	28	280.0	0
0	22	290.0	0
0	28	300.0	0
0	24	310.0	0
0	26	320.0	0
1	31	330.0	0
0	29	340.0	0
0	32	350.0	0
1	26	360.0	0
0	22	370.0	0
0	21	380.0	0
1	22	390.0	0
1	31	400.0	0
0	20	410.0	0
0	33	420.0	0
0	34	430.0	0
0	34	440.0	0
0	30	450.0	0
0	23	460.0	0
1	31	470.0	0
0	23	480.0	0
1	33	490.0	0
0	31	500.0	0
0	27	510.0	0
0	22	520.0	0
1	29	530.0	0
1	28	540.0	0
0	28	550.0	0
1	31	560.0	0
0	33	570.0	0
1	28	580.0	0
1	24	590.0	0
0	23	600.0	0
0	31	610.0	0
0	31	620.0	0
1	22	630.0	0
2	25	640.0	0
1	23	650.0	0
0	31	660.0	0
0	31	670.0	0
1	29	680.0	0
0	21	690.0	0
0	27	700.0	0
0	32	710.0	0
1	20	720.0	0
0	36	730.0	0
1	38	740.0	0
1	26	750.0	0
0	45	760.0	0
0	35	770.0	0
1	64	780.0	0
0	75	790.0	0
1	74	800.0	0
0	116	810.0	0
1	316	820.0	0
0	689	830.0	0
0	1092	840.0	0
1	1278	850.0	0
2	1348	860.0	0
0	1275	870.0	0
1	1355	880.0	0
0	1372	890.0	0
1	1279	900.0	0
1	1377	910.0	0
1	1225	920.0	0
0	1288	930.0	0
0	1260	940.0	0
1	1327	950.0	0
0	1309	960.0	0
0	1316	970.0	0
0	1334	980.0	0
0	1333	990.0	0
1	1280	1000.0	0
0	1477	1010.0	0
0	1420	1020.0	0
0	1376	1030.0	0
1	1285	1040.0	0
0	1388	1050.0	0
0	1320	1060.0	0
3	1341	1070.0	0
1	1364	1080.0	0
1	1298	1090.0	0
2	1382	1100.0	0
2	1353	1110.0	0
0	1353	1120.0	0
1	1216	1130.0	0
0	1241	1140.0	0
0	1328	1150.0	0
1	1288	1160.0	0
1	1311	1170.0	0
0	1376	1180.0	0
0	1405	1190.0	0
0	1271	1200.0	0
1	1238	1210.0	0
1	1395	1220.0	0
2	1190	1230.0	0
1	1174	1240.0	0
0	1349	1250.0	0
0	1297	1260.0	0
0	1273	1270.0	0
0	1270	1280.0	0
0	1351	1290.0	0
1	1447	1300.0	0
0	1266	1310.0	0
0	1297	1320.0	0
0	1311	1330.0	0
1	1347	1340.0	0
1	1211	1350.0	0
1	1190	1360.0	0
0	1263	1370.0	0
1	1224	1380.0	0
0	1351	1390.0	0
1	1273	1400.0	0
0	1307	1410.0	0
0	1325	1420.0	0
0	1308	1430.0	0
0	1183	1440.0	0
0	1151	1450.0	0
0	1253	1460.0	0
0	1270	1470.0	0
0	1355	1480.0	0
0	1318	1490.0	0
1	1291	1500.0	0
1	1411	1510.0	0
1	1233	1520.0	0
0	1242	1530.0	0
1	1372	1540.0	0
0	1307	1550.0	0
0	1308	1560.0	0
2	1177	1570.0	0
0	1199	1580.0	0
1	1169	1590.0	0
0	1226	1600.0	0
0	1306	1610.0	0
1	1311	1620.0	0
0	1306	1630.0	0
0	1266	1640.0	0
0	1277	1650.0	0
0	1314	1660.0	0
1	1194	1670.0	0
1	1267	1680.0	0
2	1250	1690.0	0
0	1265	1700.0	0
0	1179	1710.0	0
0	1232	1720.0	0
2	1362	1730.0	0
1	1243	1740.0	0
0	1280	1750.0	0
0	1299	1760.0	0
0	1294	1770.0	0
2	1373	1780.0	0
1	1297	1790.0	0
0	1295	1800.0	0
0	1314	1810.0	0
2	1239	1820.0	0
1	1356	1830.0	0
0	1361	1840.0	0
0	1275	1850.0	0
0	1266	1860.0	0
0	1218	1870.0	0
2	1308	1880.0	0
0	1362	1890.0	0
0	1381	1900.0	0
0	1326	1910.0	0
0	1346	1920.0	0
0	1224	1930.0	0
0	1279	1940.0	0
1	1221	1950.0	0
2	1264	1960.0	0
1	1282	1970.0	0
0	1218	1980.0	0
1	1427	1990.0	0
0	1246	2000.0	0
0	1267	2010.0	0
2	1300	2020.0	0
1	1225	2030.0	0
0	1285	2040.0	0
0	1359	2050.0	0
0	1165	2060.0	0
0	1233	2070.0	0
0	1393	2080.0	0
2	1281	2090.0	0
2	1293	2100.0	0
0	1290	2110.0	0
1	1204	2120.0	0
0	1214	2130.0	0
1	1255	2140.0	0
1	1263	2150.0	0
0	1360	2160.0	0
1	1209	2170.0	0
1	1343	2180.0	0
0	1274	2190.0	0
1	1242	2200.0	0
1	1306	2210.0	0
0	1154	2220.0	0
1	1179	2230.0	0
0	1347	2240.0	0
1	1272	2250.0	0
2	1251	2260.0	0
0	1312	2270.0	0
0	1350	2280.0	0
0	1282	2290.0	0
1	1199	2300.0	0
0	1285	2310.0	0
0	1284	2320.0	0
0	1343	2330.0	0
0	1309	2340.0	0
0	1213	2350.0	0
1	1209	2360.0	0
0	1254	2370.0	0
3	1274	2380.0	0
1	1323	2390.0	0
1	1635	2400.0	0
0	1549	2410.0	0
0	1467	2420.0	0
0	1571	2430.0	0
1	1635	2440.0	0
2	1584	2450.0	0
0	1430	2460.0	0
0	1578	2470.0	0
1	1558	2480.0	0
0	1620	2490.0	0
1	1582	2500.0	0
2	1594	2510.0	0
0	1506	2520.0	0
0	1536	2530.0	0
1	1494	2540.0	0
0	1563	2550.0	0
0	1421	2560.0	0
1	1657	2570.0	0
0	1627	2580.0	0
0	1647	2590.0	0
0	1561	2600.0	0
0	1563	2610.0	0
0	1495	2620.0	0
1	1549	2630.0	0
0	1411	2640.0	0
1	1483	2650.0	0
0	1507	2660.0	0
0	1571	2670.0	0
0	1512	2680.0	0
2	1535	2690.0	0
0	1531	2700.0	0
0	1522	2710.0	0
0	1465	2720.0	0
0	1522	2730.0	0
0	1587	2740.0	0
0	1210	2750.0	0
0	1200	2760.0	0
0	1244	2770.0	0
0	1230	2780.0	0
0	1214	2790.0	0
0	1203	2800.0	0
1	1163	2810.0	0
0	1002	2820.0	0
0	522	2830.0	0
0	191	2840.0	0
0	60	2850.0	0
0	35	2860.0	0
0	27	2870.0	0
0	32	2880.0	0
0	24	2890.0	0
0	31	2900.0	0
0	46	2910.0	0
0	35	2920.0	0
0	25	2930.0	0
0	22	2940.0	0
0	33	2950.0	0
0	33	2960.0	0
2	24	2970.0	0
2	27	2980.0	0
0	31	2990.0	0
0	31	3000.0	0
2	21	10.0	1
2	4	20.0	1
2	14	30.0	1
1	29	40.0	1
1	30	50.0	1
1	16	60.0	1
0	23	70.0	1
0	7	80.0	1
0	14	90.0	1
0	11	100.0	1
1	12	110.0	1
0	36	120.0	1
2	0	130.0	1
1	4	140.0	1
0	30	150.0	1
1	28	160.0	1
2	27	170.0	1
0	1	180.0	1
2	10	190.0	1
0	32	200.0	1
0	17	210.0	1
1	24	220.0	1
0	35	230.0	1
1	27	240.0	1
0	33	250.0	1
0	31	260.0	1
0	27	270.0	1
1	28	280.0	1
1	26	290.0	1
0	19	300.0	1
1	25	310.0	1
1	30	320.0	1
0	22	330.0	1
3	37	340.0	1
0	23	350.0	1
0	32	360.0	1
1	32	370.0	1
0	27	380.0	1
2	17	390.0	1
0	27	400.0	1
0	32	410.0	1
0	22	420.0	1
1	32	430.0	1
0	25	440.0	1
0	32	450.0	1
0	23	460.0	1
0	20	470.0	1
0	23	480.0	1
0	26	490.0	1
2	25	500.0	1
0	25	510.0	1
2	36	520.0	1
0	27	530.0	1
0	24	540.0	1
1	23	550.0	1
0	22	560.0	1
1	26	570.0	1
0	26	580.0	1
0	23	590.0	1
0	36	600.0	1
0	25	610.0	1
0	20	620.0	1
0	35	630.0	1
0	18	640.0	1
0	26	650.0	1
0	32	660.0	1
1	27	670.0	1
