Experiment time:	2021-07-08 15:47:22	Scanning Mode:	Time Sweep
Total Loop:	10	Point per loop:	100
Signal	Reference	Time(ns)	Loop Num
0	0	5.0	0
0	0	10.0	0
0	0	15.0	0
0	0	20.0	0
0	0	25.0	0
0	0	30.0	0
0	0	35.0	0
0	0	40.0	0
0	0	45.0	0
0	0	50.0	0
0	0	55.0	0
0	0	60.0	0
0	0	65.0	0
0	0	70.0	0
0	0	75.0	0
0	0	80.0	0
0	0	85.0	0
0	0	90.0	0
0	0	95.0	0
0	15328	100.0	0
3289	34430	105.0	0
34055	49999	110.0	0
49999	49999	115.0	0
49999	49999	120.0	0
49999	49999	125.0	0
49999	49999	130.0	0
49999	49999	135.0	0
49999	49999	140.0	0
49999	49999	145.0	0
49999	49999	150.0	0
49999	49999	155.0	0
49999	49999	160.0	0
49999	49999	165.0	0
49999	49999	170.0	0
49999	49999	175.0	0
49999	49999	180.0	0
49999	49999	185.0	0
49999	49999	190.0	0
49999	49999	195.0	0
49999	49999	200.0	0
49999	49999	205.0	0
49999	49999	210.0	0
49999	49999	215.0	0
49999	49999	220.0	0
49999	49999	225.0	0
49999	49999	230.0	0
49999	49999	235.0	0
49999	49999	240.0	0
49999	49999	245.0	0
49999	49999	250.0	0
49999	49999	255.0	0
49999	49999	260.0	0
49999	49999	265.0	0
49999	49999	270.0	0
49999	49999	275.0	0
49999	49999	280.0	0
49999	49999	285.0	0
49999	49999	290.0	0
49999	49999	295.0	0
49999	49999	300.0	0
49999	49999	305.0	0
49999	49999	310.0	0
49999	49999	315.0	0
49999	49999	320.0	0
49999	49999	325.0	0
49999	49999	330.0	0
49999	49999	335.0	0
49999	49999	340.0	0
49999	49999	345.0	0
49999	49999	350.0	0
49999	49999	355.0	0
49999	49999	360.0	0
49999	49999	365.0	0
49999	49999	370.0	0
49999	49999	375.0	0
49999	49999	380.0	0
49999	49999	385.0	0
49999	49999	390.0	0
49999	40052	395.0	0
35735	20721	400.0	0
14894	617	405.0	0
0	0	410.0	0
0	0	415.0	0
0	0	420.0	0
0	0	425.0	0
0	0	430.0	0
0	0	435.0	0
0	0	440.0	0
0	0	445.0	0
0	0	450.0	0
0	0	455.0	0
0	0	460.0	0
0	0	465.0	0
0	0	470.0	0
0	0	475.0	0
0	0	480.0	0
0	0	485.0	0
0	0	490.0	0
0	0	495.0	0
0	0	500.0	0
0	0	5.0	1
0	0	10.0	1
0	0	15.0	1
0	0	20.0	1
0	0	25.0	1
0	0	30.0	1
0	0	35.0	1
0	0	40.0	1
0	0	45.0	1
0	0	50.0	1
0	0	55.0	1
0	0	60.0	1
0	0	65.0	1
0	0	70.0	1
0	0	75.0	1
0	0	80.0	1
0	0	85.0	1
0	0	90.0	1
0	0	95.0	1
0	15401	100.0	1
3235	34383	105.0	1
34076	49999	110.0	1
49999	49999	115.0	1
49999	49999	120.0	1
49999	49999	125.0	1
49999	49999	130.0	1
49999	49999	135.0	1
49999	49999	140.0	1
49999	49999	145.0	1
49999	49999	150.0	1
49999	49999	155.0	1
49999	49999	160.0	1
49999	49999	165.0	1
49999	49999	170.0	1
49999	49999	175.0	1
49999	49999	180.0	1
49999	49999	185.0	1
49999	49999	190.0	1
49999	49999	195.0	1
49999	49999	200.0	1
49999	49999	205.0	1
49999	49999	210.0	1
49999	49999	215.0	1
49999	49999	220.0	1
49999	49999	225.0	1
49999	49999	230.0	1
49999	49999	235.0	1
49999	49999	240.0	1
49999	49999	245.0	1
49999	49999	250.0	1
49999	49999	255.0	1
49999	49999	260.0	1
49999	49999	265.0	1
49999	49999	270.0	1
49999	49999	275.0	1
49999	49999	280.0	1
49999	49999	285.0	1
