Experiment time:	2021-07-08 15:12:06	Scanning Mode:	Time Sweep
Total Loop:	10	Point per loop:	100
Signal	Reference	Time(ns)	Loop Num
0	0	10.0	0
0	0	20.0	0
0	0	30.0	0
0	0	40.0	0
0	0	50.0	0
0	0	60.0	0
0	0	70.0	0
0	0	80.0	0
0	0	90.0	0
0	0	100.0	0
0	0	110.0	0
0	0	120.0	0
0	0	130.0	0
0	0	140.0	0
0	0	150.0	0
0	0	160.0	0
0	0	170.0	0
0	0	180.0	0
0	0	190.0	0
0	0	200.0	0
0	0	210.0	0
0	0	220.0	0
0	0	230.0	0
0	0	240.0	0
0	0	250.0	0
0	0	260.0	0
0	0	270.0	0
0	0	280.0	0
0	0	290.0	0
0	0	300.0	0
0	0	310.0	0
0	0	320.0	0
0	0	330.0	0
0	0	340.0	0
0	0	350.0	0
0	0	360.0	0
0	0	370.0	0
0	0	380.0	0
0	0	390.0	0
0	0	400.0	0
0	0	410.0	0
0	0	420.0	0
0	0	430.0	0
0	0	440.0	0
0	0	450.0	0
0	0	460.0	0
0	0	470.0	0
0	0	480.0	0
0	0	490.0	0
35733	20978	500.0	0
49999	49999	510.0	0
49999	49999	520.0	0
49999	49999	530.0	0
49999	49999	540.0	0
49999	49999	550.0	0
49999	49999	560.0	0
49999	49999	570.0	0
49999	49999	580.0	0
49999	49999	590.0	0
49999	49999	600.0	0
49999	49999	610.0	0
49999	49999	620.0	0
49999	49999	630.0	0
49999	49999	640.0	0
49999	49999	650.0	0
49999	49999	660.0	0
49999	49999	670.0	0
49999	49999	680.0	0
49999	49999	690.0	0
49999	49999	700.0	0
49999	49999	710.0	0
49999	49999	720.0	0
49999	49999	730.0	0
49999	49999	740.0	0
49999	49999	750.0	0
49999	49999	760.0	0
49999	49999	770.0	0
49999	49999	780.0	0
49999	49999	790.0	0
0	14745	800.0	0
0	0	810.0	0
0	0	820.0	0
0	0	830.0	0
0	0	840.0	0
0	0	850.0	0
0	0	860.0	0
0	0	870.0	0
0	0	880.0	0
0	0	890.0	0
0	0	900.0	0
0	0	910.0	0
0	0	920.0	0
0	0	930.0	0
0	0	940.0	0
0	0	950.0	0
0	0	960.0	0
0	0	970.0	0
0	0	980.0	0
0	0	990.0	0
0	0	1000.0	0
0	0	10.0	1
0	0	20.0	1
0	0	30.0	1
0	0	40.0	1
0	0	50.0	1
0	0	60.0	1
0	0	70.0	1
0	0	80.0	1
0	0	90.0	1
0	0	100.0	1
0	0	110.0	1
0	0	120.0	1
0	0	130.0	1
0	0	140.0	1
0	0	150.0	1
0	0	160.0	1
0	0	170.0	1
0	0	180.0	1
0	0	190.0	1
0	0	200.0	1
0	0	210.0	1
0	0	220.0	1
0	0	230.0	1
0	0	240.0	1
0	0	250.0	1
0	0	260.0	1
0	0	270.0	1
0	0	280.0	1
0	0	290.0	1
0	0	300.0	1
0	0	310.0	1
0	0	320.0	1
0	0	330.0	1
0	0	340.0	1
0	0	350.0	1
0	0	360.0	1
0	0	370.0	1
0	0	380.0	1
0	0	390.0	1
0	0	400.0	1
0	0	410.0	1
0	0	420.0	1
0	0	430.0	1
0	0	440.0	1
0	0	450.0	1
0	0	460.0	1
0	0	470.0	1
0	0	480.0	1
0	0	490.0	1
35785	20949	500.0	1
49999	49999	510.0	1
49999	49999	520.0	1
49999	49999	530.0	1
49999	49999	540.0	1
49999	49999	550.0	1
49999	49999	560.0	1
49999	49999	570.0	1
49999	49999	580.0	1
49999	49999	590.0	1
49999	49999	600.0	1
49999	49999	610.0	1
49999	49999	620.0	1
49999	49999	630.0	1
49999	49999	640.0	1
49999	49999	650.0	1
49999	49999	660.0	1
