Experiment time:	2021-07-08 17:37:27	Scanning Mode:	Time Sweep
Total Loop:	10	Point per loop:	50
Signal	Reference	Time(ns)	Loop Num
1608	1622	50.0	0
1646	1708	100.0	0
1577	1698	150.0	0
1595	1664	200.0	0
1564	1596	250.0	0
1620	1713	300.0	0
1611	1645	350.0	0
1599	1621	400.0	0
1587	1720	450.0	0
1567	1543	500.0	0
1631	1606	550.0	0
1560	1678	600.0	0
1605	1626	650.0	0
1511	1623	700.0	0
1587	1646	750.0	0
1627	1606	800.0	0
1572	1646	850.0	0
1608	1576	900.0	0
1572	1627	950.0	0
1530	1598	1000.0	0
1554	1665	1050.0	0
1455	1588	1100.0	0
1608	1622	1150.0	0
1754	1701	1200.0	0
1689	1702	1250.0	0
1768	1738	1300.0	0
1807	1732	1350.0	0
1673	1669	1400.0	0
1773	1783	1450.0	0
1685	1641	1500.0	0
1689	1646	1550.0	0
1779	1754	1600.0	0
1700	1679	1650.0	0
1663	1675	1700.0	0
1736	1696	1750.0	0
1821	1717	1800.0	0
1769	1654	1850.0	0
1770	1700	1900.0	0
1790	1786	1950.0	0
1752	1723	2000.0	0
1662	1662	2050.0	0
1739	1684	2100.0	0
1729	1724	2150.0	0
1696	1672	2200.0	0
1749	1726	2250.0	0
1675	1715	2300.0	0
1769	1704	2350.0	0
1614	1657	2400.0	0
1680	1677	2450.0	0
1662	1654	2500.0	0
1599	1657	50.0	1
1582	1697	100.0	1
1550	1610	150.0	1
1623	1647	200.0	1
1577	1677	250.0	1
1665	1697	300.0	1
1580	1598	350.0	1
1564	1587	400.0	1
1562	1640	450.0	1
1579	1608	500.0	1
1625	1661	550.0	1
1616	1612	600.0	1
1503	1612	650.0	1
1634	1709	700.0	1
1578	1663	750.0	1
1543	1652	800.0	1
1558	1653	850.0	1
1595	1650	900.0	1
1607	1650	950.0	1
1642	1698	1000.0	1
1622	1661	1050.0	1
1661	1677	1100.0	1
1609	1659	1150.0	1
1724	1715	1200.0	1
1757	1766	1250.0	1
1705	1738	1300.0	1
1695	1738	1350.0	1
1664	1668	1400.0	1
1755	1743	1450.0	1
1770	1766	1500.0	1
1717	1628	1550.0	1
1737	1734	1600.0	1
1685	1689	1650.0	1
1699	1721	1700.0	1
1746	1701	1750.0	1
1731	1684	1800.0	1
1730	1691	1850.0	1
1702	1707	1900.0	1
1801	1749	1950.0	1
1684	1586	2000.0	1
1750	1755	2050.0	1
1748	1725	2100.0	1
1745	1660	2150.0	1
1718	1695	2200.0	1
1757	1732	2250.0	1
1615	1625	2300.0	1
1723	1657	2350.0	1
1678	1714	2400.0	1
1718	1669	2450.0	1
