Experiment time:	2021-07-09 17:24:27	Scanning Mode:	Time Sweep
Total Loop:	20	Point per loop:	100
Signal	Reference	Time(ns)	Loop Num
0	1286	2603.0	0
0	1274	2606.0	0
1	1134	2609.0	0
0	1144	2612.0	0
0	1311	2615.0	0
0	1215	2618.0	0
0	1290	2621.0	0
0	1316	2624.0	0
1	1224	2627.0	0
0	1166	2630.0	0
0	1117	2633.0	0
1	1127	2636.0	0
0	1108	2639.0	0
0	1143	2642.0	0
1	1156	2645.0	0
0	1204	2648.0	0
0	1249	2651.0	0
1	1171	2654.0	0
0	1423	2657.0	0
0	1356	2660.0	0
0	1267	2663.0	0
0	1292	2666.0	0
0	1198	2669.0	0
0	1135	2672.0	0
0	1108	2675.0	0
0	1100	2678.0	0
0	1120	2681.0	0
0	1265	2684.0	0
0	1256	2687.0	0
0	1135	2690.0	0
0	1162	2693.0	0
0	1246	2696.0	0
0	1202	2699.0	0
0	1131	2702.0	0
0	1156	2705.0	0
0	1113	2708.0	0
0	1282	2711.0	0
0	1295	2714.0	0
0	1200	2717.0	0
1	1242	2720.0	0
1	1284	2723.0	0
0	1313	2726.0	0
0	1224	2729.0	0
1	1276	2732.0	0
0	1246	2735.0	0
0	1245	2738.0	0
0	1182	2741.0	0
1	1229	2744.0	0
0	1188	2747.0	0
0	1197	2750.0	0
0	1258	2753.0	0
0	1083	2756.0	0
0	1214	2759.0	0
0	1161	2762.0	0
1	1144	2765.0	0
0	1088	2768.0	0
1	1112	2771.0	0
0	1014	2774.0	0
0	1092	2777.0	0
1	1104	2780.0	0
0	997	2783.0	0
0	909	2786.0	0
0	889	2789.0	0
0	859	2792.0	0
0	815	2795.0	0
0	785	2798.0	0
0	796	2801.0	0
0	755	2804.0	0
0	707	2807.0	0
0	707	2810.0	0
0	711	2813.0	0
0	664	2816.0	0
1	588	2819.0	0
0	585	2822.0	0
1	519	2825.0	0
0	472	2828.0	0
0	398	2831.0	0
0	410	2834.0	0
0	391	2837.0	0
2	303	2840.0	0
0	256	2843.0	0
0	235	2846.0	0
0	179	2849.0	0
0	116	2852.0	0
0	61	2855.0	0
0	58	2858.0	0
0	33	2861.0	0
1	19	2864.0	0
0	8	2867.0	0
0	8	2870.0	0
0	2	2873.0	0
0	4	2876.0	0
1	3	2879.0	0
0	0	2882.0	0
0	0	2885.0	0
0	2	2888.0	0
0	1	2891.0	0
0	0	2894.0	0
0	1	2897.0	0
0	0	2900.0	0
0	1161	2603.0	1
0	1187	2606.0	1
0	1035	2609.0	1
0	1166	2612.0	1
0	1061	2615.0	1
0	1146	2618.0	1
0	1195	2621.0	1
0	1234	2624.0	1
0	1216	2627.0	1
0	1252	2630.0	1
1	1317	2633.0	1
0	1231	2636.0	1
0	1185	2639.0	1
0	1197	2642.0	1
0	1216	2645.0	1
0	1244	2648.0	1
0	1191	2651.0	1
1	1172	2654.0	1
0	1193	2657.0	1
0	1082	2660.0	1
0	1176	2663.0	1
0	1094	2666.0	1
0	1234	2669.0	1
2	1143	2672.0	1
0	1160	2675.0	1
0	1264	2678.0	1
0	1163	2681.0	1
0	1164	2684.0	1
1	1083	2687.0	1
0	1112	2690.0	1
1	1229	2693.0	1
0	1165	2696.0	1
0	1096	2699.0	1
0	1184	2702.0	1
0	1245	2705.0	1
0	1255	2708.0	1
0	1179	2711.0	1
0	1300	2714.0	1
0	1217	2717.0	1
0	1231	2720.0	1
0	1313	2723.0	1
0	1218	2726.0	1
0	1168	2729.0	1
0	1197	2732.0	1
0	1230	2735.0	1
1	1280	2738.0	1
0	1272	2741.0	1
0	1161	2744.0	1
0	1122	2747.0	1
1	1185	2750.0	1
1	1275	2753.0	1
0	1090	2756.0	1
0	1091	2759.0	1
0	1164	2762.0	1
0	1036	2765.0	1
0	1081	2768.0	1
0	1010	2771.0	1
0	1044	2774.0	1
0	1139	2777.0	1
0	976	2780.0	1
0	955	2783.0	1
0	944	2786.0	1
0	926	2789.0	1
0	887	2792.0	1
0	816	2795.0	1
1	755	2798.0	1
2	723	2801.0	1
0	747	2804.0	1
1	781	2807.0	1
0	731	2810.0	1
0	714	2813.0	1
0	639	2816.0	1
1	559	2819.0	1
0	550	2822.0	1
1	537	2825.0	1
0	476	2828.0	1
1	384	2831.0	1
0	419	2834.0	1
0	356	2837.0	1
0	306	2840.0	1
0	262	2843.0	1
0	268	2846.0	1
2	192	2849.0	1
0	129	2852.0	1
0	74	2855.0	1
1	45	2858.0	1
0	44	2861.0	1
0	19	2864.0	1
0	8	2867.0	1
1	4	2870.0	1
0	1	2873.0	1
0	5	2876.0	1
0	3	2879.0	1
0	2	2882.0	1
1	0	2885.0	1
1	2	2888.0	1
0	0	2891.0	1
0	0	2894.0	1
0	0	2897.0	1
0	1	2900.0	1
0	1118	2603.0	2
0	1185	2606.0	2
0	1190	2609.0	2
0	1105	2612.0	2
0	1219	2615.0	2
2	1160	2618.0	2
0	1068	2621.0	2
1	1183	2624.0	2
0	1144	2627.0	2
0	1105	2630.0	2
0	1072	2633.0	2
1	1101	2636.0	2
0	1124	2639.0	2
0	1101	2642.0	2
0	1120	2645.0	2
0	1279	2648.0	2
0	1279	2651.0	2
0	1237	2654.0	2
0	1083	2657.0	2
0	1107	2660.0	2
0	1232	2663.0	2
0	1211	2666.0	2
0	1308	2669.0	2
0	1191	2672.0	2
0	1086	2675.0	2
0	1047	2678.0	2
0	1050	2681.0	2
0	1081	2684.0	2
0	1138	2687.0	2
0	1233	2690.0	2
0	1199	2693.0	2
0	1254	2696.0	2
0	1204	2699.0	2
0	1259	2702.0	2
0	1149	2705.0	2
0	1198	2708.0	2
1	1160	2711.0	2
1	1117	2714.0	2
0	1093	2717.0	2
0	1239	2720.0	2
0	1255	2723.0	2
0	1258	2726.0	2
0	1146	2729.0	2
0	1143	2732.0	2
0	1154	2735.0	2
0	1251	2738.0	2
0	1240	2741.0	2
1	1141	2744.0	2
0	1162	2747.0	2
0	1094	2750.0	2
0	1125	2753.0	2
1	1119	2756.0	2
0	1147	2759.0	2
0	1099	2762.0	2
0	1086	2765.0	2
0	1101	2768.0	2
0	982	2771.0	2
1	952	2774.0	2
0	1055	2777.0	2
0	979	2780.0	2
0	929	2783.0	2
0	1013	2786.0	2
0	880	2789.0	2
1	840	2792.0	2
0	799	2795.0	2
0	781	2798.0	2
0	773	2801.0	2
0	717	2804.0	2
0	689	2807.0	2
0	674	2810.0	2
1	625	2813.0	2
0	538	2816.0	2
0	547	2819.0	2
0	542	2822.0	2
1	486	2825.0	2
0	455	2828.0	2
0	381	2831.0	2
0	425	2834.0	2
0	372	2837.0	2
1	336	2840.0	2
1	277	2843.0	2
0	243	2846.0	2
0	184	2849.0	2
0	126	2852.0	2
0	79	2855.0	2
0	58	2858.0	2
1	45	2861.0	2
0	15	2864.0	2
0	12	2867.0	2
0	7	2870.0	2
1	9	2873.0	2
0	5	2876.0	2
0	1	2879.0	2
0	0	2882.0	2
0	1	2885.0	2
0	2	2888.0	2
1	1	2891.0	2
0	0	2894.0	2
0	0	2897.0	2
0	0	2900.0	2
1	1286	2603.0	3
0	1127	2606.0	3
0	1208	2609.0	3
0	1194	2612.0	3
0	1198	2615.0	3
0	1113	2618.0	3
0	1143	2621.0	3
0	1109	2624.0	3
1	1261	2627.0	3
0	1166	2630.0	3
0	1165	2633.0	3
0	1285	2636.0	3
0	1172	2639.0	3
0	1194	2642.0	3
0	1228	2645.0	3
1	1204	2648.0	3
0	1180	2651.0	3
0	1126	2654.0	3
0	1084	2657.0	3
1	1049	2660.0	3
0	1117	2663.0	3
0	1018	2666.0	3
0	1046	2669.0	3
0	1027	2672.0	3
1	1147	2675.0	3
0	1084	2678.0	3
0	1068	2681.0	3
0	1040	2684.0	3
0	1221	2687.0	3
0	1144	2690.0	3
0	1184	2693.0	3
1	1168	2696.0	3
0	1203	2699.0	3
0	1181	2702.0	3
0	1180	2705.0	3
1	1179	2708.0	3
1	1141	2711.0	3
0	1167	2714.0	3
1	1075	2717.0	3
0	1199	2720.0	3
0	1183	2723.0	3
0	1118	2726.0	3
0	1149	2729.0	3
0	1030	2732.0	3
0	1141	2735.0	3
0	1093	2738.0	3
0	1101	2741.0	3
0	1158	2744.0	3
0	1185	2747.0	3
0	1284	2750.0	3
0	1065	2753.0	3
0	1141	2756.0	3
3	1198	2759.0	3
0	1224	2762.0	3
0	1248	2765.0	3
0	1159	2768.0	3
2	1050	2771.0	3
0	949	2774.0	3
0	977	2777.0	3
0	815	2780.0	3
0	805	2783.0	3
0	893	2786.0	3
0	877	2789.0	3
0	812	2792.0	3
1	817	2795.0	3
0	742	2798.0	3
0	810	2801.0	3
1	739	2804.0	3
0	729	2807.0	3
0	620	2810.0	3
0	668	2813.0	3
0	615	2816.0	3
0	545	2819.0	3
0	559	2822.0	3
0	507	2825.0	3
0	384	2828.0	3
1	409	2831.0	3
0	342	2834.0	3
0	402	2837.0	3
0	311	2840.0	3
0	257	2843.0	3
1	241	2846.0	3
1	188	2849.0	3
1	133	2852.0	3
0	74	2855.0	3
0	50	2858.0	3
0	41	2861.0	3
0	19	2864.0	3
0	3	2867.0	3
0	15	2870.0	3
1	7	2873.0	3
2	2	2876.0	3
1	3	2879.0	3
0	3	2882.0	3
0	2	2885.0	3
0	1	2888.0	3
0	0	2891.0	3
1	0	2894.0	3
0	0	2897.0	3
0	0	2900.0	3
0	1136	2603.0	4
0	1326	2606.0	4
0	1157	2609.0	4
1	1167	2612.0	4
0	1202	2615.0	4
0	1204	2618.0	4
0	1190	2621.0	4
1	1111	2624.0	4
0	1270	2627.0	4
0	1246	2630.0	4
0	1262	2633.0	4
0	1090	2636.0	4
0	1245	2639.0	4
1	1158	2642.0	4
0	1126	2645.0	4
0	1175	2648.0	4
0	1051	2651.0	4
0	1100	2654.0	4
0	1128	2657.0	4
1	1044	2660.0	4
0	1115	2663.0	4
0	1113	2666.0	4
0	1025	2669.0	4
0	1108	2672.0	4
2	1079	2675.0	4
0	1180	2678.0	4
2	1140	2681.0	4
0	1139	2684.0	4
0	1115	2687.0	4
0	1125	2690.0	4
0	1137	2693.0	4
0	1132	2696.0	4
0	1187	2699.0	4
0	1266	2702.0	4
1	1135	2705.0	4
0	1255	2708.0	4
0	1257	2711.0	4
0	1173	2714.0	4
1	1302	2717.0	4
0	1185	2720.0	4
0	1280	2723.0	4
1	1272	2726.0	4
0	1223	2729.0	4
1	1227	2732.0	4
0	1241	2735.0	4
2	1141	2738.0	4
1	1203	2741.0	4
0	1234	2744.0	4
0	1232	2747.0	4
0	1131	2750.0	4
0	1158	2753.0	4
1	1138	2756.0	4
0	1094	2759.0	4
0	1198	2762.0	4
0	1132	2765.0	4
0	1192	2768.0	4
0	1037	2771.0	4
0	1053	2774.0	4
