Experiment time:	2021-07-09 16:59:33	Scanning Mode:	Time Sweep
Total Loop:	20	Point per loop:	100
Signal	Reference	Time(ns)	Loop Num
0	0	753.0	0
0	0	756.0	0
0	0	759.0	0
0	0	762.0	0
1	0	765.0	0
2	1	768.0	0
0	0	771.0	0
0	3	774.0	0
1	1	777.0	0
0	7	780.0	0
0	4	783.0	0
0	22	786.0	0
0	31	789.0	0
0	63	792.0	0
0	92	795.0	0
0	113	798.0	0
1	131	801.0	0
1	161	804.0	0
0	226	807.0	0
1	226	810.0	0
0	293	813.0	0
1	263	816.0	0
0	285	819.0	0
1	308	822.0	0
0	330	825.0	0
0	383	828.0	0
0	376	831.0	0
0	417	834.0	0
0	452	837.0	0
1	450	840.0	0
1	481	843.0	0
0	506	846.0	0
0	470	849.0	0
0	565	852.0	0
0	596	855.0	0
0	633	858.0	0
2	630	861.0	0
1	716	864.0	0
0	798	867.0	0
1	757	870.0	0
2	787	873.0	0
1	870	876.0	0
1	1026	879.0	0
0	945	882.0	0
0	916	885.0	0
0	882	888.0	0
0	1026	891.0	0
0	963	894.0	0
0	1005	897.0	0
0	947	900.0	0
0	1049	903.0	0
1	1003	906.0	0
0	1033	909.0	0
0	1054	912.0	0
1	1080	915.0	0
0	1065	918.0	0
0	1016	921.0	0
0	1021	924.0	0
1	1000	927.0	0
0	954	930.0	0
0	936	933.0	0
0	1016	936.0	0
0	987	939.0	0
0	1059	942.0	0
0	998	945.0	0
0	924	948.0	0
2	881	951.0	0
0	862	954.0	0
0	953	957.0	0
1	1125	960.0	0
1	975	963.0	0
0	1002	966.0	0
0	1059	969.0	0
0	1071	972.0	0
1	966	975.0	0
0	1117	978.0	0
0	980	981.0	0
0	949	984.0	0
0	1062	987.0	0
0	1110	990.0	0
0	1059	993.0	0
0	1067	996.0	0
0	1104	999.0	0
0	1095	1002.0	0
0	1078	1005.0	0
2	984	1008.0	0
0	978	1011.0	0
1	1038	1014.0	0
1	1021	1017.0	0
0	1008	1020.0	0
1	983	1023.0	0
0	1031	1026.0	0
1	1089	1029.0	0
0	1116	1032.0	0
0	1093	1035.0	0
0	1255	1038.0	0
0	1150	1041.0	0
0	1113	1044.0	0
0	1094	1047.0	0
0	1039	1050.0	0
0	1	753.0	1
0	0	756.0	1
0	0	759.0	1
0	1	762.0	1
0	0	765.0	1
1	1	768.0	1
0	1	771.0	1
0	0	774.0	1
0	3	777.0	1
0	5	780.0	1
0	12	783.0	1
0	16	786.0	1
0	26	789.0	1
0	52	792.0	1
1	78	795.0	1
1	95	798.0	1
0	113	801.0	1
0	185	804.0	1
1	201	807.0	1
0	204	810.0	1
0	230	813.0	1
0	296	816.0	1
0	319	819.0	1
1	310	822.0	1
0	306	825.0	1
1	311	828.0	1
0	394	831.0	1
0	381	834.0	1
1	366	837.0	1
1	451	840.0	1
1	496	843.0	1
0	535	846.0	1
0	584	849.0	1
0	590	852.0	1
1	649	855.0	1
1	659	858.0	1
1	722	861.0	1
0	686	864.0	1
0	721	867.0	1
0	749	870.0	1
1	758	873.0	1
1	768	876.0	1
1	865	879.0	1
0	903	882.0	1
1	1000	885.0	1
0	1113	888.0	1
0	1207	891.0	1
0	995	894.0	1
0	982	897.0	1
0	1035	900.0	1
0	951	903.0	1
0	1011	906.0	1
0	997	909.0	1
0	1034	912.0	1
0	1034	915.0	1
0	1147	918.0	1
0	1026	921.0	1
0	1004	924.0	1
0	1108	927.0	1
0	1084	930.0	1
1	962	933.0	1
0	975	936.0	1
1	968	939.0	1
1	858	942.0	1
0	957	945.0	1
0	1016	948.0	1
0	1050	951.0	1
0	1040	954.0	1
0	888	957.0	1
0	917	960.0	1
2	956	963.0	1
0	945	966.0	1
0	987	969.0	1
0	1089	972.0	1
0	985	975.0	1
1	990	978.0	1
0	989	981.0	1
1	1023	984.0	1
1	1051	987.0	1
1	999	990.0	1
0	947	993.0	1
0	1066	996.0	1
0	1141	999.0	1
0	1073	1002.0	1
0	986	1005.0	1
0	1016	1008.0	1
0	955	1011.0	1
0	952	1014.0	1
0	924	1017.0	1
0	1072	1020.0	1
1	1109	1023.0	1
0	1118	1026.0	1
0	1224	1029.0	1
0	1106	1032.0	1
0	1083	1035.0	1
1	1172	1038.0	1
0	1160	1041.0	1
0	1157	1044.0	1
0	1086	1047.0	1
1	1029	1050.0	1
0	0	753.0	2
0	0	756.0	2
0	0	759.0	2
0	0	762.0	2
2	0	765.0	2
0	0	768.0	2
0	0	771.0	2
0	0	774.0	2
0	1	777.0	2
0	6	780.0	2
0	4	783.0	2
0	13	786.0	2
0	19	789.0	2
0	58	792.0	2
0	85	795.0	2
0	124	798.0	2
0	114	801.0	2
0	186	804.0	2
0	232	807.0	2
0	247	810.0	2
0	271	813.0	2
0	264	816.0	2
0	311	819.0	2
0	315	822.0	2
0	355	825.0	2
0	297	828.0	2
0	343	831.0	2
0	414	834.0	2
0	431	837.0	2
0	441	840.0	2
0	538	843.0	2
0	492	846.0	2
0	549	849.0	2
0	622	852.0	2
0	626	855.0	2
1	637	858.0	2
0	666	861.0	2
0	648	864.0	2
0	735	867.0	2
0	726	870.0	2
1	729	873.0	2
0	803	876.0	2
0	890	879.0	2
0	973	882.0	2
1	928	885.0	2
0	990	888.0	2
0	915	891.0	2
0	983	894.0	2
0	975	897.0	2
1	927	900.0	2
1	1001	903.0	2
0	916	906.0	2
0	913	909.0	2
0	957	912.0	2
1	1010	915.0	2
1	995	918.0	2
0	1052	921.0	2
0	983	924.0	2
0	933	927.0	2
0	887	930.0	2
0	932	933.0	2
0	910	936.0	2
1	995	939.0	2
0	1063	942.0	2
0	1053	945.0	2
0	1028	948.0	2
0	1047	951.0	2
0	1093	954.0	2
0	1047	957.0	2
1	1014	960.0	2
0	1004	963.0	2
0	1024	966.0	2
0	1006	969.0	2
0	1042	972.0	2
0	1121	975.0	2
0	1087	978.0	2
0	1050	981.0	2
0	1033	984.0	2
0	1008	987.0	2
1	987	990.0	2
1	920	993.0	2
0	897	996.0	2
0	995	999.0	2
0	1006	1002.0	2
0	954	1005.0	2
0	949	1008.0	2
0	989	1011.0	2
0	1052	1014.0	2
0	1007	1017.0	2
1	938	1020.0	2
0	1012	1023.0	2
0	968	1026.0	2
0	987	1029.0	2
1	1059	1032.0	2
1	1048	1035.0	2
0	1089	1038.0	2
0	1027	1041.0	2
0	1074	1044.0	2
0	971	1047.0	2
0	1113	1050.0	2
0	0	753.0	3
0	1	756.0	3
1	0	759.0	3
0	0	762.0	3
0	0	765.0	3
0	0	768.0	3
0	0	771.0	3
0	1	774.0	3
1	0	777.0	3
0	2	780.0	3
0	15	783.0	3
0	16	786.0	3
0	27	789.0	3
0	50	792.0	3
0	92	795.0	3
0	91	798.0	3
1	130	801.0	3
0	165	804.0	3
1	216	807.0	3
0	221	810.0	3
0	233	813.0	3
1	303	816.0	3
0	280	819.0	3
0	300	822.0	3
0	290	825.0	3
0	327	828.0	3
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0	355	837.0	3
0	510	840.0	3
1	461	843.0	3
0	529	846.0	3
0	560	849.0	3
0	533	852.0	3
0	580	855.0	3
0	599	858.0	3
0	596	861.0	3
0	637	864.0	3
0	721	867.0	3
2	792	870.0	3
1	817	873.0	3
0	874	876.0	3
1	987	879.0	3
0	917	882.0	3
0	942	885.0	3
0	936	888.0	3
0	947	891.0	3
1	872	894.0	3
0	889	897.0	3
0	957	900.0	3
1	871	903.0	3
0	901	906.0	3
0	895	909.0	3
0	1012	912.0	3
0	1070	915.0	3
1	1059	918.0	3
0	1009	921.0	3
1	958	924.0	3
0	913	927.0	3
0	916	930.0	3
0	1017	933.0	3
0	939	936.0	3
0	914	939.0	3
2	913	942.0	3
0	948	945.0	3
1	1035	948.0	3
0	923	951.0	3
0	908	954.0	3
1	908	957.0	3
0	988	960.0	3
0	1035	963.0	3
0	913	966.0	3
0	964	969.0	3
0	967	972.0	3
0	972	975.0	3
0	1008	978.0	3
0	936	981.0	3
0	1041	984.0	3
0	943	987.0	3
0	942	990.0	3
0	878	993.0	3
0	958	996.0	3
0	990	999.0	3
1	1003	1002.0	3
0	956	1005.0	3
0	1102	1008.0	3
0	1101	1011.0	3
1	1056	1014.0	3
0	1015	1017.0	3
0	1078	1020.0	3
0	1014	1023.0	3
0	1077	1026.0	3
0	1109	1029.0	3
0	1110	1032.0	3
0	1013	1035.0	3
0	1051	1038.0	3
0	1103	1041.0	3
0	1141	1044.0	3
0	1205	1047.0	3
0	1043	1050.0	3
0	0	753.0	4
0	1	756.0	4
1	1	759.0	4
0	0	762.0	4
0	1	765.0	4
0	0	768.0	4
0	0	771.0	4
1	1	774.0	4
0	1	777.0	4
0	1	780.0	4
0	5	783.0	4
0	17	786.0	4
2	20	789.0	4
0	46	792.0	4
0	72	795.0	4
1	94	798.0	4
0	131	801.0	4
1	165	804.0	4
0	225	807.0	4
0	259	810.0	4
0	265	813.0	4
0	269	816.0	4
0	330	819.0	4
0	288	822.0	4
0	321	825.0	4
0	327	828.0	4
1	335	831.0	4
0	333	834.0	4
0	409	837.0	4
0	430	840.0	4
0	496	843.0	4
0	585	846.0	4
0	564	849.0	4
0	638	852.0	4
0	700	855.0	4
0	667	858.0	4
0	663	861.0	4
0	681	864.0	4
0	658	867.0	4
0	767	870.0	4
0	737	873.0	4
0	914	876.0	4
1	960	879.0	4
0	911	882.0	4
0	940	885.0	4
0	1064	888.0	4
0	994	891.0	4
1	985	894.0	4
0	981	897.0	4
0	950	900.0	4
0	1004	903.0	4
0	953	906.0	4
1	973	909.0	4
0	884	912.0	4
1	825	915.0	4
0	881	918.0	4
0	935	921.0	4
0	968	924.0	4
0	971	927.0	4
1	1088	930.0	4
0	1029	933.0	4
0	1037	936.0	4
0	909	939.0	4
0	946	942.0	4
1	930	945.0	4
0	894	948.0	4
0	912	951.0	4
0	878	954.0	4
0	1003	957.0	4
0	916	960.0	4
0	912	963.0	4
0	979	966.0	4
0	911	969.0	4
0	996	972.0	4
0	939	975.0	4
0	898	978.0	4
0	915	981.0	4
0	943	984.0	4
0	899	987.0	4
1	1015	990.0	4
0	968	993.0	4
0	989	996.0	4
1	1052	999.0	4
0	1013	1002.0	4
1	988	1005.0	4
0	1096	1008.0	4
0	953	1011.0	4
0	950	1014.0	4
0	995	1017.0	4
0	1010	1020.0	4
0	1036	1023.0	4
0	1031	1026.0	4
0	1056	1029.0	4
1	1023	1032.0	4
0	1036	1035.0	4
0	954	1038.0	4
0	979	1041.0	4
0	957	1044.0	4
1	955	1047.0	4
1	994	1050.0	4
0	0	753.0	5
0	1	756.0	5
0	0	759.0	5
1	0	762.0	5
0	0	765.0	5
0	0	768.0	5
0	0	771.0	5
1	0	774.0	5
0	0	777.0	5
